Drug,Pathway (ID/Name),Regulation (corrected),Effect (corrected),"Rationale (correct, baseline-focused)"
Abemaciclib,HALLMARK_E2F_TARGETS,Up,Sensitive,"In RB1-proficient tumors, CDK4/6-mediated RB phosphorylation releases E2F, inducing DNA replication genes (polymerases, MCMs, CDC6, etc.). Abemaciclib blocks RB phosphorylation, re-pressing E2F targets. Moderate to high E2F-target expression reflecting active but RB-dependent cycling tends to mark tumors that respond; extreme E2F activation via RB loss/c-MYC can bypass CDK4/6 and confer resistance."
Abemaciclib,HALLMARK_ESTROGEN_RESPONSE_EARLY,Up,Sensitive,ER signaling induces CCND1 (cyclin D1) and promotes CDK4/6 activity. Luminal ER⁺/HER2– tumors with intact ER signaling and dependence on estrogen-driven cyclin D1 show the greatest benefit from ET + CDK4/6i; ET plus abemaciclib suppresses ER target genes and cell cycle. Loss of ER or an “ER-low/non-luminal” phenotype associates with poorer CDK4/6i benefit.
Abemaciclib,REACTOME_CYCLIN_D_ASSOCIATED_EVENTS_IN_G1,Up,Sensitive,Overexpression/amplification of cyclin D1 (CCND1) or high CDK4/6 levels mark tumors that rely on this axis for RB phosphorylation and G1–S entry. Such tumors are particularly vulnerable to abemaciclib; pharmacologic CDK4/6 inhibition reduces pRb and arrests cells in G1.
Abemaciclib,REACTOME_CYCLIN_E_ASSOCIATED_EVENTS_DURING_G1_S_TRANSITION,Up,Resistant,Cyclin E–CDK2 can maintain RB phosphorylation and drive S-phase entry even when CDK4/6 is inhibited. Clinical and translational data show high CCNE1 expression associates with short PFS and resistance to palbociclib/abemaciclib; low CCNE1 correlates with better outcomes.
Abemaciclib,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,Down,Resistant,"RB1 is the canonical target of CDK4/6i. Tumors with RB1 loss-of-function (genomic loss, truncating mutation, complete protein loss) fail to undergo G1 arrest with CDK4/6 blockade and are essentially insensitive to abemaciclib. RB1 loss is a well-described mechanism of both de novo and acquired CDK4/6i resistance."
Abemaciclib,HALLMARK_PI3K_AKT_MTOR_SIGNALING,Up,Resistant,"Activation of PI3K/AKT/mTOR supports cell growth and survival independent of cyclin D–CDK4/6, and is enriched in endocrine-resistant tumors. Functional proteomic and resistance-model studies show PI3K/AKT/mTOR upregulation in CDK4/6i-resistant breast cancer; dual CDK4/6 + PI3K/mTOR targeting can restore apoptosis and overcome resistance."
Abemaciclib,REACTOME_SIGNALING_BY_FGFR1,Up,Resistant,"FGFR1 amplification and MAPK activation induce cyclins and CDK6, providing an alternative proliferative drive that bypasses CDK4/6 blockade. In ER⁺ breast cancer, FGFR1-altered models and patients show resistance to ET + CDK4/6i, which can be mitigated by FGFR inhibitors."
Abemaciclib,KEGG_MEDICUS_REFERENCE_P16_CELL_CYCLE_G1_S,Up,Resistant,"CDKN2A/p16^INK4A^ normally inhibits cyclin D–CDK4/6. In many HR⁺ breast cancers, loss of p16 is part of the oncogenic program and may mark CDK4/6 dependence and sensitivity; conversely, high p16 frequently accompanies RB1 dysfunction or other cell-cycle rewiring, correlating with poor response to CDK4/6i in several datasets and xenograft models. Thus “p16 up” is generally a red flag for resistance when it reflects an abnormal RB loop."
Abemaciclib,KEGG_MEDICUS_REFERENCE_PDL_PD1_SHP_PI3K_SIGNALING_PATHWAY,Down,Resistant,"CDK4/6 inhibition (including abemaciclib) modulates the tumor immune microenvironment, increasing antigen presentation and T-cell infiltration but also inducing PD-L1 upregulation as a negative feedback. This PD-L1 increase is treatment-associated, not a classic baseline selection marker; it may limit long-term responses unless combined with immune checkpoint blockade. Upregulation is primarily post-treatment/adaptive (CDK4/6i-induced PD-L1 on tumor and immune cells)"
Abemaciclib,REACTOME_SIGNALING_BY_HIPPO,Down,Resistant,"Loss of FAT1 impairs Hippo tumor-suppressor signaling, leading to nuclear YAP/TAZ accumulation and transcriptional upregulation of CDK6 and other proliferative genes. Functional genomics screens and clinical correlates in ER⁺ breast cancer show FAT1 and other Hippo alterations as recurrent drivers of CDK4/6i resistance."
Abemaciclib,HALLMARK_G2M_CHECKPOINT,Up ,Resistant,"TK1 activity reflects S-phase flux and is downstream of CDK4/6–RB–E2F signaling. Patients starting CDK4/6i + ET with high baseline TK1 but showing a robust early decline in TK1 activity have better PFS; persistent or rising TK1 on therapy marks early progression. Thus TK1 is best viewed as a pharmacodynamic marker, with baseline high proliferation compatible with sensitivity but on-treatment decrease being the key favorable sign."
Alpelisib,REACTOME_PI3K_AKT_ACTIVATION,Up,Sensitive,"Alpelisib is active when the PI3Kα pathway is activated (PIK3CA driver mutations). Clinical benefit shown in PIK3CA-mutant, HR+ HER2− breast cancer (SOLAR-1). (PubMed)"
Alpelisib,REACTOME_MTOR_SIGNALLING,Up,Resistant,Elevated mTORC1 output (p-4EBP1/p-S6) can maintain translation/growth and is a documented resistance mechanism to PI3K inhibition; targeting mTORC1 (or using mTORC1-selective inhibitors) can overcome resistance. (PubMed Central)
Alpelisib,REACTOME_SIGNALING_BY_ERBB2,Up,Resistant,HER2 activation can drive PI3K signaling and promote therapeutic escape; PI3Kα inhibitors may need combination (HER2 blockade) in HER2+ / PIK3CA settings — monotherapy is often insufficient. (PubMed)
Alpelisib, REACTOME_ESR_MEDIATED_SIGNALING,Up,Sensitive,Alpelisib was developed and approved for HR-positive (ER+) PIK3CA-mutant advanced BC in combination with endocrine therapy (fulvestrant); the key predictor is PIK3CA mutation in the HR+ context. The statement “ER signaling Down → Sensitive” confuses treatment effect (ER target down after fulvestrant) with the baseline predictor. (PubMed)
Alpelisib,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,Up,Resistant,"PI3K pathway and downstream AKT/mTOR regulate glucose metabolism; PI3K inhibitor resistance is often accompanied by metabolic rewiring (increased glycolysis or alternate fuel use), and targeting metabolism can sensitize resistant cells in preclinical models. (PubMed Central)"
Alpelisib,KEGG_MAPK_SIGNALING_PATHWAY,Up,Resistant,MAPK pathway activation (mutations or RTK feedback) is a well described bypass mechanism to PI3K inhibition; combined PI3K + MAPK axis targeting is a rational strategy in preclinical/clinical work. (PubMed Central)
Alpelisib,HALLMARK_APOPTOSIS,Up,Sensitive,"Relief of AKT survival signaling (BCL2 family, MCL1 modulation) leads to apoptosis in sensitive tumors; however degree of apoptosis varies with tumor context and co-alterations (e.g., PTEN loss, concurrent MAPK activation). (PubMed Central)"
Alpelisib,STEIN_ESR1_TARGETS,Up,Sensitive,Partially Sensitive (context-dependent)  (ESR1 mutations often cause endocrine resistance; alpelisib + fulvestrant can still have activity) ESR1 activating mutations drive endocrine resistance but combining PI3Kα inhibition with ER downregulation (fulvestrant) can have activity in some settings; evidence is mixed and depends on prior therapies (CDK4/6 exposure etc.). ESR1 mutation is not a simple “positive” predictor but combination therapy may work in some ESR1-mutant cases. (PubMed Central)
Anastrozole,HALLMARK_ESTROGEN_RESPONSE_LATE,Up,Sensitive,Aromatase inhibitors (anastrozole) reduce peripheral estrogen → less ERα activation → loss of ER transcriptional program (estrogen response signatures fall) → growth suppression in ER+ tumours.
